game_id,roof_update
2021_01_PHI_ATL,open
2021_01_JAX_HOU,closed
2021_01_SEA_IND,closed
2021_02_LA_IND,closed
2021_03_CAR_HOU,closed
2021_04_WAS_ATL,open
2021_05_NE_HOU,closed
2021_06_HOU_IND,open
2021_08_CAR_ATL,open
2021_08_LA_HOU,closed
2021_08_TEN_IND,open
2021_09_NYJ_IND,closed
2021_10_JAX_IND,closed
2021_11_NE_ATL,closed
2021_12_NYJ_HOU,closed
2021_12_TB_IND,closed
2021_13_TB_ATL,closed
2021_13_IND_HOU,closed
2021_14_SEA_HOU,open
2021_15_NE_IND,closed
2021_16_DET_ATL,open
2021_16_LAC_HOU,closed
2021_17_LV_IND,closed
2021_18_TEN_HOU,closed
2021_18_NO_ATL,closed
